Statistic,Value,Source,URL
AI pilots moving from pilot to production,54%,Gartner 2022,https://www.gartner.com
GenAI project abandonment rate (2025),42% (up from 17% in 2024),S&P Global Market Intelligence 2025,https://www.spglobal.com/market-intelligence/en/news-insights/research/ai-experiences-rapid-adoption-but-with-mixed-outcomes
GenAI projects abandoned after POC by end 2025,30%,Gartner July 2024,https://www.gartner.com/en/newsroom/press-releases/2024-07-29
Organizations with high AI maturity keeping projects operational 3+ years,45% (vs 20% low maturity),Gartner June 2025,https://www.gartner.com/en/newsroom/press-releases/2025-06-30
GenAI adoption in organizations,65%,McKinsey State of AI 2024,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-2024
Organizations seeing tangible enterprise EBIT impact from GenAI,<20%,McKinsey State of AI 2024,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-2024
High performers attributing >10% EBIT to GenAI,~5% (46 of 876 respondents),McKinsey State of AI 2024,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-2024
Most advanced GenAI initiatives meeting or exceeding ROI,74%,Deloitte Q4 2024 (n=2773),https://www.deloitte.com/us/en/what-we-do/capabilities/applied-artificial-intelligence/content/state-of-generative-ai-in-enterprise.html
Organizations reporting ROI >30%,20%,Deloitte Q4 2024,https://www.deloitte.com/us/en/what-we-do/capabilities/applied-artificial-intelligence/content/state-of-generative-ai-in-enterprise.html
Enterprise AI adoption,78% (up from 55% in 2023),Stanford HAI AI Index 2025,https://hai.stanford.edu/ai-index/2025-ai-index-report
GenAI use in at least one business function,71% (doubled from 33% in 2023),Stanford HAI AI Index 2025,https://hai.stanford.edu/ai-index/2025-ai-index-report
Implementation timeline (project start to production),1-4 months (most common),McKinsey State of AI 2024,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai-2024
