Organization,Sector,AI_Technology,Process_Type,Business_Function,Implementation_Stage,Success_Outcome,Key_Metrics_Achieved,Time_Horizon,Organization_Size
Microsoft (1000+ customer stories),Technology,Generative AI/Copilot,Cross-departmental,Multiple,Production,Success,Multiple productivity gains,Ongoing,Enterprise
Lumen Technologies,Telecommunications,AI Tools,Single-department,Sales/Operations,Production,Success,"$50M annual savings, 4hrs/week saved",12+ months,Enterprise
Air India,Aviation,AI Virtual Assistant,Single-department,Customer Service,Production,Success,97% automation of 4M+ queries,12+ months,Enterprise
PGP Glass,Glass Manufacturing,GenAI/Copilot,Single-department,Operations,Production,Success,30-40 min/day productivity gain,3-6 months,Mid-market
Sandvik,Manufacturing,Manufacturing Copilot,Single-department,Manufacturing/Documentation,Production,Success,30% productivity improvement,12+ months,Enterprise
Toshiba,Technology/Conglomerate,GenAI/Copilot,Cross-departmental,Multiple,Production,Success,5.6 hrs/month saved per employee,12+ months,Enterprise
Volvo Group,Automotive,AI Tools,Cross-departmental,Multiple,Production,Success,Multiple efficiency gains,12+ months,Enterprise
McDonald's China,Food Service,Azure AI/GenAI,Cross-departmental,Operations/Customer Service,Production,Success,2K to 30K transactions/month,12+ months,Enterprise
Uber,Transportation,RPA,Cross-departmental,Operations/Finance,Production,Success,"$10M annual savings, 100+ processes",36+ months,Enterprise
Spotify,Entertainment/Music,AI/ML,Cross-departmental,Operations/Content,Production,Success,Multiple operational improvements,24+ months,Enterprise
Deloitte,Professional Services,RPA/Chatbots,Cross-departmental,Knowledge Management,Production,Success,Various process improvements,24+ months,Enterprise
Harmonic Machine Inc.,Manufacturing,RPA/Automation,Single-department,Manufacturing,Production,Success,"100% machine utilization, 24/6 uptime",12+ months,Mid-market
Siemens,Industrial Technology,Azure OpenAI,Cross-departmental,Operations/R&D,Production,Success,Multiple efficiency improvements,12+ months,Enterprise
Tokyo Metropolitan Government,Government,ChatGPT,Cross-departmental,Operations/Administration,Production,Success,Improved operational efficiency,6-12 months,Government
West Java Provincial Government,Government,Digital Talent Management,Single-department,HR/Talent Management,Production,Success,Improved talent management objectivity,12+ months,Government
State of Mexico Government,Government,AI Survey/Planning,Cross-departmental,Operations,Pilot/POC,Mixed,Mixed adoption results,3-6 months,Government
